"Area","Country code","Year","Area type","Continent","Ember region","EU","OECD","G20","G7","Category","Subcategory","Variable","Unit","Value","YoY absolute change","YoY % change"
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Fossil","TWh",0.94,-1.77,-65.31
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Renewables","TWh",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Solar","TWh",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Wind","TWh",0.05,0.01,25
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Total","Total Generation","TWh",86.49,1.24,1.45
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity imports","Electricity imports","Net Imports","TWh",1.76,0.54,44.26
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Clean","mtCO2",1.04,0.21,25.3
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Fossil","mtCO2",21.65,-4.16,-16.12
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Gas and Other Fossil","mtCO2",20.6,-3.83,-15.68
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Hydro, Bioenergy and Other Renewables","mtCO2",0.96,0.2,26.32
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Renewables","mtCO2",0.96,0.2,26.32
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Wind and Solar","mtCO2",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","CO2 intensity","CO2 intensity","gCO2/kWh",262.34,-50.15,-16.05
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Bioenergy","mtCO2",0.08,0,0
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Coal","mtCO2",1.05,-0.33,-23.91
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Gas","mtCO2",19.94,-2.59,-11.5
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Hydro","mtCO2",0.88,0.2,29.41
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Nuclear","mtCO2",0.08,0.01,14.29
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Other Fossil","mtCO2",0.66,-1.24,-65.26
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Other Renewables","mtCO2",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Solar","mtCO2",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Fuel","Wind","mtCO2",0,0,NA
"Argentina","ARG",2001,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Total","Total emissions","mtCO2",22.69,-3.95,-14.83
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Clean","GW",9.93,0.19,1.95
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Fossil","GW",13.02,0.11,0.85
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Gas and Other Fossil","GW",12.64,0.11,0.88
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Hydro, Bioenergy and Other Renewables","GW",8.88,0.18,2.07
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Renewables","GW",8.91,0.19,2.18
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Aggregate fuel","Wind and Solar","GW",0.03,0.01,50
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Bioenergy","GW",0.09,0.03,50
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Coal","GW",0.38,0,0
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Gas","GW",12.23,0.12,0.99
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Hydro","GW",8.79,0.15,1.74
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Nuclear","GW",1.02,0,0
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Other Fossil","GW",0.41,-0.01,-2.38
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Other Renewables","GW",0,0,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Solar","GW",0,0,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Capacity","Fuel","Wind","GW",0.03,0.01,50
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity demand","Demand","Demand","TWh",86.99,-1.26,-1.43
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity demand","Demand per capita","Demand per capita","MWh",2.3,-0.06,-2.54
